drugbank_id	smpdb-id	name	drugs (placeholder)enzymes (placeholder to uniprot_id	
DB00001	SMP00278	Lepirudin Action Pathway	
DB01373	SMP00708	Salicylate-sodium Action Pathway	
DB01373	SMP00351	GABA-Transaminase Deficiency	
DB01373	SMP00083	Acetylsalicylic Acid Action Pathway	
DB01373	SMP00085	Ketoprofen Action Pathway	
DB01373	SMP00093	Diclofenac Action Pathway	
DB01373	SMP00068	Androgen and Estrogen Metabolism	
DB01373	SMP00098	Ketorolac Action Pathway	
DB01373	SMP00102	Bromfenac Action Pathway	
DB01373	SMP00109	Mefenamic Acid Action Pathway	
DB01373	SMP00492	Ureidopropionase deficiency	
DB01373	SMP00543	Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)	
DB01373	SMP00695	Etoricoxib Action Pathway	
DB01373	SMP00700	Lornoxicam Action Pathway	
DB01373	SMP00707	Salsalate Action Pathway	
DB01373	SMP00369	Tyrosinemia Type 2 (or Richner-Hanhart syndrome)	
DB01373	SMP00697	Flurbiprofen Action Pathway	
DB01373	SMP00702	Nepafenac Action Pathway	
DB01373	SMP00704	Tolmetin Action Pathway	
DB01373	SMP00709	Salicylic Acid Action Pathway	
DB01373	SMP00724	Folate malabsorption, hereditary	
DB01373	SMP00007	Beta-Alanine Metabolism	
DB01373	SMP00356	17-Beta Hydroxysteroid Dehydrogenase III Deficiency	
DB01373	SMP00084	Etodolac Action Pathway	
DB01373	SMP00086	Ibuprofen Action Pathway	
DB01373	SMP00094	Sulindac Action Pathway	
DB01373	SMP00114	Nabumetone Action Pathway	
DB01373	SMP00432	Methotrexate Action Pathway	
DB01373	SMP00206	Phenylketonuria	
DB01373	SMP00370	Tyrosinemia Type 3 (TYRO3)	
DB01373	SMP00357	Argininemia	
DB01373	SMP00001	Citrullinemia Type I	
DB01373	SMP00003	Argininosuccinic Aciduria	
DB01373	SMP00002	Carbamoyl Phosphate Synthetase Deficiency	
DB01373	SMP00218	Tyrosinemia Type I	
DB01373	SMP00172	Beta Ureidopropionase Deficiency	
DB01373	SMP00008	Phenylalanine and Tyrosine Metabolism	
DB01373	SMP00059	Urea Cycle	
DB01373	SMP00205	Ornithine Transcarbamylase Deficiency (OTC Deficiency)	
DB01373	SMP00219	UMP Synthase Deiciency (Orotic Aciduria)	
DB01373	SMP00202	MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy)	
DB01373	SMP00498	Dopamine beta-hydroxylase deficiency	
DB01373	SMP00169	Alkaptonuria	
DB01373	SMP00006	Tyrosine Metabolism	
DB01373	SMP00046	Pyrimidine Metabolism	
DB01373	SMP00178	Dihydropyrimidinase Deficiency	
DB01373	SMP00494	Tyrosinemia, transient, of the newborn	
DB01373	SMP00533	Monoamine oxidase-a deficiency (MAO-A)	
DB01373	SMP00190	Hawkinsinuria	
DB01373	SMP00203	Molybdenum Cofactor Deficiency	
DB01373	SMP00210	Purine Nucleoside Phosphorylase Deficiency	
DB01373	SMP00536	Mitochondrial DNA depletion syndrome	
DB01373	SMP00144	Adenosine Deaminase Deficiency	
DB01373	SMP00168	AICA-Ribosiduria	
DB01373	SMP00430	Thioguanine Action Pathway	
DB01373	SMP00429	Disulfiram Action Pathway	
DB01373	SMP00537	Myoadenylate deaminase deficiency	
DB01373	SMP00428	Mercaptopurine Action Pathway	
DB01373	SMP00512	Xanthinuria type I	
DB01373	SMP00365	Gout or Kelley-Seegmiller Syndrome	
DB01373	SMP00513	Xanthinuria type II	
DB01373	SMP00535	Adenine phosphoribosyltransferase deficiency (APRT)	
DB01373	SMP00364	Lesch-Nyhan Syndrome (LNS)	
DB01373	SMP00220	Xanthine Dehydrogenase Deficiency (Xanthinuria)	
DB01373	SMP00050	Purine Metabolism	
DB01373	SMP00167	Adenylosuccinate Lyase Deficiency	
DB01373	SMP00427	Azathioprine Action Pathway	
DB01378	SMP00391	Insulin Signalling	
DB01378	SMP00311	Excitatory Neural Signalling Through 5-HTR 7 and  Serotonin 	
DB01378	SMP00333	Intracellular Signalling Through FSH Receptor and Follicle Stimulating Hormone	
DB01378	SMP00338	Intracellular Signalling Through LHCGR Receptor and Luteinizing Hormone/Choriogonadotropin	
DB01378	SMP00517	Carnitine-acylcarnitine translocase deficiency	
DB01378	SMP00462	Inositol Phosphate Metabolism	
DB01378	SMP00463	Phosphatidylinositol Phosphate Metabolism	
DB01378	SMP00479	Plasmalogen Synthesis	
DB01378	SMP00310	Corticotropin Activation of Cortisol Production	
DB01378	SMP00322	Vasopressin Regulation of Water Homeostasis	
DB01378	SMP00516	Adrenoleukodystrophy, X-linked	
DB01378	SMP00603	Gemcitabine Metabolism Pathway	
DB01378	SMP00630	Tenofovir Metabolism Pathway	
DB01378	SMP00582	Joubert syndrome	
DB01378	SMP00647	Thioguanine Metabolism Pathway	
DB01378	SMP00052	Beta Oxidation of Very Long Chain Fatty Acids	
DB01378	SMP00446	Gemcitabine Action Pathway	
DB01378	SMP00312	Excitatory Neural Signalling Through 5-HTR 6 and Serotonin 	
DB01378	SMP00335	Intracellular Signalling Through Histamine H2 Receptor and Histamine	
DB01378	SMP00588	Muscle/Heart Contraction	
DB01378	SMP00309	Excitatory Neural Signalling Through 5-HTR 4 and Serotonin	
DB01378	SMP00629	Adefovir Dipivoxil Metabolism Pathway	
DB01378	SMP00297	Alprenolol Action Pathway	
DB01378	SMP00304	Oxprenolol Action Pathway	
DB01378	SMP00324	Procainamide (Antiarrhythmic) Action Pathway	
DB01378	SMP00331	Flecainide Action Pathway	
DB01378	SMP00368	Labetalol Action Pathway	
DB01378	SMP00376	Amlodipine Action Pathway	
DB01378	SMP00381	Nisoldipine Action Pathway	
DB01378	SMP00660	Sotalol Action Pathway	
DB01378	SMP00667	Metipranolol Action Pathway	
DB01378	SMP00298	Atenolol Action Pathway	
DB01378	SMP00305	Penbutolol Action Pathway	
DB01378	SMP00325	Disopyramide Action Pathway	
DB01378	SMP00332	Ibutilide Action Pathway	
DB01378	SMP00377	Felodipine Action Pathway	
DB01378	SMP00382	Nitrendipine Action Pathway	
DB01378	SMP00657	Bopindolol Action Pathway	
DB01378	SMP00661	Epinephrine Action Pathway	
DB01378	SMP00663	Isoprenaline Action Pathway	
DB01378	SMP00668	Bevantolol Action Pathway	
DB01378	SMP00300	Bisoprolol Action Pathway	
DB01378	SMP00302	Metoprolol Action Pathway	
DB01378	SMP00307	Propranolol Action Pathway	
DB01378	SMP00329	Mexiletine Action Pathway	
DB01378	SMP00366	Nebivolol Action Pathway	
DB01378	SMP00379	Nifedipine Action Pathway	
DB01378	SMP00308	Dopamine Activation of Neurological Reward System	
DB01378	SMP00354	Intracellular Signalling Through Prostacyclin Receptor and Prostacyclin	
DB01378	SMP00665	Amiodarone Action Pathway	
DB01378	SMP00670	Bupranolol Action Pathway	
DB01378	SMP00126	Phenylacetate Metabolism	
DB01378	SMP00299	Betaxolol Action Pathway	
DB01378	SMP00306	Pindolol Action Pathway	
DB01378	SMP00359	Diltiazem Action Pathway	
DB01378	SMP00378	Isradipine Action Pathway	
DB01378	SMP00343	Intracellular Signalling Through PGD2 receptor and Prostaglandin D2	
DB01378	SMP00658	Carteolol Action Pathway	
DB01378	SMP00662	Dobutamine Action Pathway	
DB01378	SMP00664	Arbutamine Action Pathway	
DB01378	SMP00669	Practolol Action Pathway	
DB01378	SMP00296	Acebutolol Action Pathway	
DB01378	SMP00301	Esmolol Action Pathway	
DB01378	SMP00303	Nadolol Action Pathway	
DB01378	SMP00323	Quinidine Action Pathway	
DB01378	SMP00330	Tocainide Action Pathway	
DB01378	SMP00367	Carvedilol Action Pathway	
DB01378	SMP00375	Verapamil Action Pathway	
DB01378	SMP00380	Nimodipine Action Pathway	
DB01378	SMP00659	Timolol Action Pathway	
DB01378	SMP00666	Levobunolol Action Pathway	
DB01378	SMP00649	Lamivudine Metabolism Pathway	
DB01378	SMP00443	Teniposide Action Pathway	
DB01378	SMP00320	Intracellular Signalling Through Adenosine Receptor A2a and Adenosine	
DB01378	SMP00481	Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids	
DB01378	SMP00326	Fosphenytoin (Antiarrhythmic) Action Pathway	
DB01378	SMP00321	Intracellular Signalling Through Adenosine Receptor A2b and Adenosine	
DB01378	SMP00358	Fc Epsilon Receptor I Signaling in Mast Cells	
DB01378	SMP00602	Teniposide Metabolism Pathway	
DB01378	SMP00011	Inositol Metabolism	
DB01378	SMP00057	Citric Acid Cycle	
DB01378	SMP00010	Nucleotide Sugars Metabolism	
DB01378	SMP00025	Phospholipid Biosynthesis	
DB01378	SMP00181	Ethylmalonic Encephalopathy	
DB01378	SMP00353	Leukotriene C4 Synthesis Deficiency	
DB01378	SMP00348	Globoid Cell Leukodystrophy	
DB01378	SMP00442	Etoposide Action Pathway	
DB01378	SMP00541	Carnitine palmitoyl transferase deficiency (II)	
DB01378	SMP00548	Mitochondrial complex II deficiency	
DB01378	SMP00553	Glycogenosis, Type III. Cori disease, Debrancher glycogenosis	
DB01378	SMP00555	Glycogenosis, Type VI. Hers disease	
DB01378	SMP00560	Phosphoenolpyruvate carboxykinase deficiency 1 (PEPCK1)	
DB01378	SMP00572	Fanconi-bickel syndrome	
DB01378	SMP00574	Glycogenosis, Type IC	
DB01378	SMP00031	Pentose Phosphate Pathway	
DB01378	SMP00075	Arachidonic Acid Metabolism	
DB01378	SMP00185	Glutaric Aciduria Type I	
DB01378	SMP00128	Gluconeogenesis	
DB01378	SMP00347	Metachromatic Leukodystrophy (MLD)	
DB01378	SMP00327	Phenytoin (Antiarrhythmic) Action Pathway	
DB01378	SMP00503	Hypophosphatasia	
DB01378	SMP00525	Fabry disease	
DB01378	SMP00542	Medium chain acyl-coa dehydrogenase deficiency (MCAD)	
DB01378	SMP00549	2-ketoglutarate dehydrogenase complex deficiency	
DB01378	SMP00556	Mucopolysaccharidosis VI. Sly syndrome	
DB01378	SMP00573	Glycogenosis, Type IB	
DB01378	SMP00482	Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids	
DB01378	SMP00374	Glycogen Storage Disease Type 1A (GSD1A) or Von Gierke Disease	
DB01378	SMP00495	Galactosemia II (GALK)	
DB01378	SMP00532	Sulfite oxidase deficiency	
DB01378	SMP00539	Long chain acyl-CoA dehydrogenase deficiency (LCAD)	
DB01378	SMP00546	Congenital lactic acidosis	
DB01378	SMP00551	Pyruvate dehydrogenase deficiency (E2)	
DB01378	SMP00563	Triosephosphate isomerase	
DB01378	SMP00601	Etoposide Metabolism Pathway	
DB01378	SMP00635	Valproic Acid Metabolism Pathway	
DB01378	SMP00450	Phytanic Acid Peroxisomal Oxidation	
DB01378	SMP00017	Vitamin B6 Metabolism	
DB01378	SMP00519	Ribose-5-phosphate isomerase deficiency	
DB01378	SMP00073	Butyrate Metabolism	
DB01378	SMP00041	Sulfate/Sulfite Metabolism	
DB01378	SMP00235	Short Chain Acyl CoA Dehydrogenase Deficiency (SCAD Deficiency)	
DB01378	SMP00451	Refsum Disease	
DB01378	SMP00040	Glycolysis	
DB01378	SMP00328	Lidocaine (Antiarrhythmic) Action Pathway	
DB01378	SMP00526	Krabbe disease	
DB01378	SMP00531	Glycogenosis, Type VII. Tarui disease	
DB01378	SMP00538	Carnitine palmitoyl transferase deficiency (I)	
DB01378	SMP00545	Trifunctional protein deficiency	
DB01378	SMP00550	Pyruvate dehydrogenase deficiency (E3)	
DB01378	SMP00557	Sucrase-isomaltase deficiency	
DB01378	SMP00562	Fructose-1,6-diphosphatase deficiency	
DB01378	SMP00581	Glycogenosis, Type IA. Von gierke disease	
DB01378	SMP00518	Glucose-6-phosphate dehydrogenase deficiency	
DB01378	SMP00496	Galactosemia III	
DB01378	SMP00540	Very-long-chain acyl coa dehydrogenase deficiency (VLCAD)	
DB01378	SMP00547	Fumarase deficiency	
DB01378	SMP00552	Glycogen synthetase deficiency	
DB01378	SMP00554	Glycogenosis, Type IV. Amylopectinosis, Anderson disease	
DB01378	SMP00051	Fatty acid Metabolism	
DB01378	SMP00070	Riboflavin Metabolism	
DB01378	SMP00034	Sphingolipid Metabolism	
DB01378	SMP00058	Starch and Sucrose Metabolism	
DB01378	SMP00030	Oxidation of Branched Chain Fatty Acids	
DB01378	SMP00349	Gaucher Disease	
DB01378	SMP00520	Transaldolase deficiency	
DB01378	SMP00123	Betaine Metabolism	
DB01378	SMP00053	Folate Metabolism	
DB01378	SMP00023	Steroid Biosynthesis	
DB01378	SMP00388	Chondrodysplasia Punctata II, X Linked Dominant (CDPX2)	
DB01378	SMP00077	Piroxicam Action Pathway	
DB01378	SMP00087	Rofecoxib Action Pathway	
DB01378	SMP00095	Alendronate Action Pathway	
DB01378	SMP00048	Nicotinate and Nicotinamide Metabolism	
DB01378	SMP00209	Hypercholesterolemia	
DB01378	SMP00120	Naproxen Action Pathway	
DB01378	SMP00099	Lovastatin Action Pathway	
DB01378	SMP00111	Cerivastatin Action Pathway	
DB01378	SMP00106	Meloxicam Action Pathway	
DB01378	SMP00509	Hyper-IgD syndrome	
DB01378	SMP00579	Congenital disorder of glycosylation CDG-IId	
DB01378	SMP00693	Antrafenine Action Pathway	
DB01378	SMP00698	Magnesium salicylate Action Pathway	
DB01378	SMP00705	Tiaprofenic Acid Action Pathway	
DB01378	SMP00710	Acetaminophen  Action Pathway	
DB01378	SMP00725	Fructose intolerance, hereditary	
DB01378	SMP00064	Fructose and Mannose Degradation	
DB01378	SMP00445	Spermidine and Spermine Biosynthesis	
DB01378	SMP00444	Lactose Synthesis	
DB01378	SMP00319	Lysosomal Acid Lipase Deficiency (Wolman Disease)	
DB01378	SMP00079	Ibandronate Action Pathway	
DB01378	SMP00089	Pravastatin Action Pathway	
DB01378	SMP00096	Celecoxib Action Pathway	
DB01378	SMP00390	Tay-Sachs Disease	
DB01378	SMP00217	Sialuria or French Type Sialuria	
DB01378	SMP00101	Suprofen Action Pathway	
DB01378	SMP00104	Indomethacin Action Pathway	
DB01378	SMP00289	Diflunisal Action Pathway	
DB01378	SMP00112	Risedronate Action Pathway	
DB01378	SMP00116	Valdecoxib Action Pathway	
DB01378	SMP00510	Mevalonic aciduria	
DB01378	SMP00561	Fructosuria	
DB01378	SMP00580	GLUT-1 deficiency syndrome	
DB01378	SMP00692	Antipyrine Action Pathway	
DB01378	SMP00694	Carprofen Action Pathway	
DB01378	SMP00699	Lumiracoxib Action Pathway	
DB01378	SMP00706	Tenoxicam Action Pathway	
DB01378	SMP00182	Galactosemia	
DB01378	SMP00113	Oxaprozin Action Pathway	
DB01378	SMP00119	Fluvastatin Action Pathway	
DB01378	SMP00534	G(M2)-Gangliosidosis: Variant B, Tay-sachs disease	
DB01378	SMP00696	Fenoprofen Action Pathway	
DB01378	SMP00701	Phenylbutazone Action Pathway	
DB01378	SMP00703	Trisalicylate-choline Action Pathway	
DB01378	SMP00708	Salicylate-sodium Action Pathway	
DB01378	SMP00045	Amino Sugar Metabolism	
DB01378	SMP00387	CHILD Syndrome	
DB01378	SMP00216	Sialuria or French Type Sialuria	
DB01378	SMP00083	Acetylsalicylic Acid Action Pathway	
DB01378	SMP00085	Ketoprofen Action Pathway	
DB01378	SMP00093	Diclofenac Action Pathway	
DB01378	SMP00043	Galactose Metabolism	
DB01378	SMP00508	Cholesteryl ester storage disease	
DB01378	SMP00609	Mercaptopurine Metabolism Pathway	
DB01378	SMP00697	Flurbiprofen Action Pathway	
DB01378	SMP00702	Nepafenac Action Pathway	
DB01378	SMP00704	Tolmetin Action Pathway	
DB01378	SMP00709	Salicylic Acid Action Pathway	
DB01378	SMP00724	Folate malabsorption, hereditary	
DB01378	SMP00386	Desmosterolosis	
DB01378	SMP00240	Salla Disease/Infantile Sialic Acid Storage Disease	
DB01378	SMP00084	Etodolac Action Pathway	
DB01378	SMP00086	Ibuprofen Action Pathway	
DB01378	SMP00094	Sulindac Action Pathway	
DB01378	SMP00114	Nabumetone Action Pathway	
DB01378	SMP00432	Methotrexate Action Pathway	
DB01378	SMP00107	Zoledronate Action Pathway	
DB01378	SMP00131	Atorvastatin Action Pathway	
DB01378	SMP00175	Canavan Disease	
DB01378	SMP00369	Tyrosinemia Type 2 (or Richner-Hanhart syndrome)	
DB01378	SMP00389	Smith-Lemli-Opitz Syndrome (SLOS)	
DB01378	SMP00082	Simvastatin Action Pathway	
DB01378	SMP00092	Rosuvastatin Action Pathway	
DB01378	SMP00098	Ketorolac Action Pathway	
DB01378	SMP00102	Bromfenac Action Pathway	
DB01378	SMP00109	Mefenamic Acid Action Pathway	
DB01378	SMP00117	Pamidronate Action Pathway	
DB01378	SMP00511	Wolman disease	
DB01378	SMP00543	Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)	
DB01378	SMP00695	Etoricoxib Action Pathway	
DB01378	SMP00700	Lornoxicam Action Pathway	
DB01378	SMP00707	Salsalate Action Pathway	
DB01378	SMP00192	Hypoacetylaspartia	
DB01378	SMP00206	Phenylketonuria	
DB01378	SMP00370	Tyrosinemia Type 3 (TYRO3)	
DB01378	SMP00558	Primary hyperoxaluria II, PH2	
DB01378	SMP00654	Warburg Effect	
DB01378	SMP00334	Pyruvate Decarboxylase E1 Component Deficiency (PDHE1 Deficiency)	
DB01378	SMP00559	Pyruvate kinase deficiency	
DB01378	SMP00009	Ammonia Recycling	
DB01378	SMP00008	Phenylalanine and Tyrosine Metabolism	
DB01378	SMP00060	Pyruvate Metabolism	
DB01378	SMP00212	Pyruvate Dehydrogenase Complex Deficiency	
DB01378	SMP00341	Hypermethioninemia	
DB01378	SMP00218	Tyrosinemia Type I	
DB01378	SMP00172	Beta Ureidopropionase Deficiency	
DB01378	SMP00567	Succinic semialdehyde dehydrogenase deficiency	
DB01378	SMP00067	Aspartate Metabolism	
DB01378	SMP00196	Leigh Syndrome	
DB01378	SMP00033	Methionine Metabolism	
DB01378	SMP00214	S-Adenosylhomocysteine (SAH) Hydrolase Deficiency	
DB01378	SMP00219	UMP Synthase Deiciency (Orotic Aciduria)	
DB01378	SMP00202	MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy)	
DB01378	SMP00498	Dopamine beta-hydroxylase deficiency	
DB01378	SMP00243	4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency	
DB01378	SMP00169	Alkaptonuria	
DB01378	SMP00570	Homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism, cblG complementation type	
DB01378	SMP00340	Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)	
DB01378	SMP00006	Tyrosine Metabolism	
DB01378	SMP00072	Glutamate Metabolism	
DB01378	SMP00339	Hyperinsulinism-Hyperammonemia Syndrome	
DB01378	SMP00136	2-Hydroxyglutric Aciduria (D And L Form)	
DB01378	SMP00533	Monoamine oxidase-a deficiency (MAO-A)	
DB01378	SMP00177	Cystathionine Beta-Synthase Deficiency	
DB01378	SMP00221	Methionine Adenosyltransferase Deficiency	
DB01378	SMP00190	Hawkinsinuria	
DB01378	SMP00203	Molybdenum Cofactor Deficiency	
DB01378	SMP00210	Purine Nucleoside Phosphorylase Deficiency	
DB01378	SMP00244	Sarcosinemia	
DB01378	SMP00485	Hyperglycinemia, non-ketotic	
DB01378	SMP00536	Mitochondrial DNA depletion syndrome	
DB01378	SMP00222	Glycine N-methyltransferase Deficiency	
DB01378	SMP00046	Pyrimidine Metabolism	
DB01378	SMP00178	Dihydropyrimidinase Deficiency	
DB01378	SMP00494	Tyrosinemia, transient, of the newborn	
DB01378	SMP00385	Homocarnosinosis	
DB01378	SMP00144	Adenosine Deaminase Deficiency	
DB01378	SMP00168	AICA-Ribosiduria	
DB01378	SMP00004	Glycine and Serine Metabolism	
DB01378	SMP00430	Thioguanine Action Pathway	
DB01378	SMP00429	Disulfiram Action Pathway	
DB01378	SMP00537	Myoadenylate deaminase deficiency	
DB01378	SMP00242	Dimethylglycine Dehydrogenase Deficiency	
DB01378	SMP00428	Mercaptopurine Action Pathway	
DB01378	SMP00512	Xanthinuria type I	
DB01378	SMP00365	Gout or Kelley-Seegmiller Syndrome	
DB01378	SMP00484	Dimethylglycine Dehydrogenase Deficiency	
DB01378	SMP00513	Xanthinuria type II	
DB01378	SMP00535	Adenine phosphoribosyltransferase deficiency (APRT)	
DB01378	SMP00721	3-Phosphoglycerate dehydrogenase deficiency	
DB01378	SMP00364	Lesch-Nyhan Syndrome (LNS)	
DB01378	SMP00220	Xanthine Dehydrogenase Deficiency (Xanthinuria)	
DB01378	SMP00179	Dihydropyrimidine Dehydrogenase Deficiency (DHPD)	
DB01378	SMP00050	Purine Metabolism	
DB01378	SMP00167	Adenylosuccinate Lyase Deficiency	
DB01378	SMP00223	Non Ketotic Hyperglycinemia	
DB01378	SMP00427	Azathioprine Action Pathway	
DB01397	SMP00698	Magnesium salicylate Action Pathway	
DB01398	SMP00708	Salicylate-sodium Action Pathway	
DB01399	SMP00707	Salsalate Action Pathway	
DB01401	SMP00703	Trisalicylate-choline Action Pathway	
DB01412	SMP00028	Caffeine Metabolism	
DB01418	SMP00269	Acenocoumarol Action Pathway	
DB01419	SMP00693	Antrafenine Action Pathway	
DB01421	SMP00714	Paromomycin Action Pathway	
DB01433	SMP00678	Methadyl Acetate Action Pathway	
DB01435	SMP00692	Antipyrine Action Pathway	
DB01439	SMP00679	3-Methylthiofentanyl Action Pathway	
DB01444	SMP00680	Dimethylthiambutene Action Pathway	
DB01452	SMP00623	Heroin Metabolism Pathway	
DB01452	SMP00407	Heroin Action Pathway	
DB01466	SMP00681	Ethylmorphine Action Pathway	
DB01535	SMP00414	Carfentanil Action Pathway	
DB01536	SMP00565	Aromatase deficiency	
DB01536	SMP00068	Androgen and Estrogen Metabolism	
DB01536	SMP00356	17-Beta Hydroxysteroid Dehydrogenase III Deficiency	
DB01565	SMP00689	Dihydromorphine Action Pathway	
DB01580	SMP00304	Oxprenolol Action Pathway	
DB01592	SMP00021	Taurine and Hypotaurine Metabolism	
DB01592	SMP00011	Inositol Metabolism	
DB01592	SMP00495	Galactosemia II (GALK)	
DB01592	SMP00450	Phytanic Acid Peroxisomal Oxidation	
DB01592	SMP00519	Ribose-5-phosphate isomerase deficiency	
DB01592	SMP00496	Galactosemia III	
DB01592	SMP00465	Carnitine Synthesis	
DB01592	SMP00030	Oxidation of Branched Chain Fatty Acids	
DB01592	SMP00520	Transaldolase deficiency	
DB01592	SMP00012	Catecholamine Biosynthesis	
DB01592	SMP00010	Nucleotide Sugars Metabolism	
DB01592	SMP00497	Tyrosine hydroxylase deficiency	
DB01592	SMP00031	Pentose Phosphate Pathway	
DB01592	SMP00170	Aromatic L-Aminoacid Decarboxylase Deficiency	
DB01592	SMP00451	Refsum Disease	
DB01592	SMP00518	Glucose-6-phosphate dehydrogenase deficiency	
DB01592	SMP00074	Retinol Metabolism	
DB01592	SMP00336	Vitamin A Deficiency	
DB01592	SMP00314	Congenital Bile Acid Synthesis Defect Type II	
DB01592	SMP00182	Galactosemia	
DB01592	SMP00119	Fluvastatin Action Pathway	
DB01592	SMP00720	27-Hydroxylase Deficiency	
DB01592	SMP00387	CHILD Syndrome	
DB01592	SMP00043	Galactose Metabolism	
DB01592	SMP00023	Steroid Biosynthesis	
DB01592	SMP00388	Chondrodysplasia Punctata II, X Linked Dominant (CDPX2)	
DB01592	SMP00095	Alendronate Action Pathway	
DB01592	SMP00346	Porphyria Variegata (PV)	
DB01592	SMP00317	Familial Hypercholanemia (FHCA)	
DB01592	SMP00209	Hypercholesterolemia	
DB01592	SMP00099	Lovastatin Action Pathway	
DB01592	SMP00111	Cerivastatin Action Pathway	
DB01592	SMP00509	Hyper-IgD syndrome	
DB01592	SMP00579	Congenital disorder of glycosylation CDG-IId	
DB01592	SMP00722	Cystinosis, ocular nonnephropathic	
DB01592	SMP00508	Cholesteryl ester storage disease	
DB01592	SMP00386	Desmosterolosis	
DB01592	SMP00344	Acute Intermittent Porphyria	
DB01592	SMP00318	Congenital Bile Acid Synthesis Defect Type III	
DB01592	SMP00107	Zoledronate Action Pathway	
DB01592	SMP00131	Atorvastatin Action Pathway	
DB01592	SMP00389	Smith-Lemli-Opitz Syndrome (SLOS)	
DB01592	SMP00082	Simvastatin Action Pathway	
DB01592	SMP00092	Rosuvastatin Action Pathway	
DB01592	SMP00024	Porphyrin Metabolism	
DB01592	SMP00315	Cerebrotendinous Xanthomatosis (CTX)	
DB01592	SMP00342	Hereditary Coproporphyria (HCP)	
DB01592	SMP00117	Pamidronate Action Pathway	
DB01592	SMP00499	Beta-mercaptolactate-cysteine disulfiduria	
DB01592	SMP00511	Wolman disease	
DB01592	SMP00013	Cysteine Metabolism	
DB01592	SMP00444	Lactose Synthesis	
DB01592	SMP00319	Lysosomal Acid Lipase Deficiency (Wolman Disease)	
DB01592	SMP00079	Ibandronate Action Pathway	
DB01592	SMP00089	Pravastatin Action Pathway	
DB01592	SMP00035	Bile Acid Biosynthesis	
DB01592	SMP00345	Congenital Erythropoietic Porphyria (CEP) or Gunther Disease	
DB01592	SMP00316	Zellweger Syndrome	
DB01592	SMP00112	Risedronate Action Pathway	
DB01592	SMP00510	Mevalonic aciduria	
DB01592	SMP00580	GLUT-1 deficiency syndrome	
DB01592	SMP00369	Tyrosinemia Type 2 (or Richner-Hanhart syndrome)	
DB01592	SMP00008	Phenylalanine and Tyrosine Metabolism	
DB01592	SMP00206	Phenylketonuria	
DB01592	SMP00370	Tyrosinemia Type 3 (TYRO3)	
DB01592	SMP00169	Alkaptonuria	
DB01592	SMP00006	Tyrosine Metabolism	
DB01592	SMP00063	Tryptophan Metabolism	
DB01592	SMP00218	Tyrosinemia Type I	
DB01592	SMP00172	Beta Ureidopropionase Deficiency	
DB01592	SMP00533	Monoamine oxidase-a deficiency (MAO-A)	
DB01592	SMP00190	Hawkinsinuria	
DB01592	SMP00219	UMP Synthase Deiciency (Orotic Aciduria)	
DB01592	SMP00202	MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy)	
DB01592	SMP00498	Dopamine beta-hydroxylase deficiency	
DB01592	SMP00046	Pyrimidine Metabolism	
DB01592	SMP00178	Dihydropyrimidinase Deficiency	
DB01592	SMP00494	Tyrosinemia, transient, of the newborn	
DB01592	SMP00429	Disulfiram Action Pathway	
DB01593	SMP00587	Angiotensin Metabolism	
DB01593	SMP00148	Enalapril Action Pathway	
DB01593	SMP00155	Rescinnamine Action Pathway	
DB01593	SMP00163	Olmesartan Action Pathway	
DB01593	SMP00264	Dipyridamole (Antiplatelet) Action Pathway	
DB01593	SMP00391	Insulin Signalling	
DB01593	SMP00591	Benazepril Metabolism Pathway	
DB01593	SMP00598	Spirapril Metabolism Pathway	
DB01593	SMP00145	Benazepril Action Pathway	
DB01593	SMP00150	Lisinopril Action Pathway	
DB01593	SMP00152	Perindopril Action Pathway	
DB01593	SMP00157	Trandolapril Action Pathway	
DB01593	SMP00158	Candesartan Action Pathway	
DB01593	SMP00160	Forasartan Action Pathway	
DB01593	SMP00165	Valsartan Action Pathway	
DB01593	SMP00593	Enalapril Metabolism Pathway	
DB01593	SMP00595	Moexipril Metabolism Pathway	
DB01593	SMP00146	Captopril Action Pathway	
DB01593	SMP00151	Moexipril Action Pathway	
DB01593	SMP00153	Quinapril Action Pathway	
DB01593	SMP00159	Eprosartan Action Pathway	
DB01593	SMP00161	Irbesartan Action Pathway	
DB01593	SMP00596	Quinapril Metabolism Pathway	
DB01593	SMP00597	Ramipril Metabolism Pathway	
DB01593	SMP00147	Cilazapril Action Pathway	
DB01593	SMP00154	Ramipril Action Pathway	
DB01593	SMP00162	Losartan Action Pathway	
DB01593	SMP00468	Degradation of Superoxides	
DB01593	SMP00149	Fosinopril Action Pathway	
DB01593	SMP00156	Spirapril Action Pathway	
DB01593	SMP00164	Telmisartan Action Pathway	
DB01593	SMP00263	Cilostazol Action Pathway	
